group                                                    classes    size_kb
Architecture.BLL.Account                                       2       12.2
Architecture.BLL.Accounts                                     33      739.6
Architecture.BLL.AppMenu                                       1       10.4
Architecture.BLL.AppModules                                    1        3.5
Architecture.BLL.Applications                                  1        2.6
Architecture.BLL.ApplicationsAllocateToUser                    1        8.5
Architecture.BLL.AssetSchema                                   3       27.5
Architecture.BLL.AttributeVariant                              1       10.8
Architecture.BLL.Authentication                                3       18.4
Architecture.BLL.BackUpLogs                                    1       19.2
Architecture.BLL.Bank                                          1        9.1
Architecture.BLL.BankBalanceManual                             1        7.2
Architecture.BLL.BankSchema                                    4       49.7
Architecture.BLL.BlockListVehicles                             1        4.5
Architecture.BLL.BoilerName                                    1        5.9
Architecture.BLL.Branches                                      1        6.4
Architecture.BLL.BranchesAllocationToUser                      1        8.4
Architecture.BLL.BusinessType                                  1        8.2
Architecture.BLL.CLV                                           1        1.5
Architecture.BLL.CRM                                           6       41.0
Architecture.BLL.CheqBookHeader                                1        2.8
Architecture.BLL.ChequePrinting                                6       24.1
Architecture.BLL.City                                          1        6.8
Architecture.BLL.CmTr                                          6      263.6
Architecture.BLL.CommissionAgent                               6      360.4
Architecture.BLL.CommodityDetailItemCustomerWise               1        9.6
Architecture.BLL.Common                                        5       92.5
Architecture.BLL.Company                                       1       13.6
Architecture.BLL.CompanyFeatures                               1        5.3
Architecture.BLL.CompanyReport                                 1        4.4
Architecture.BLL.CompanyRights                                 1       22.6
Architecture.BLL.ContractorWages                               6      257.3
Architecture.BLL.ContractorsAllocationToBranch                 1        6.7
Architecture.BLL.CostCenter                                    1        5.8
Architecture.BLL.DAW                                           4       24.5
Architecture.BLL.DMS                                           3       25.4
Architecture.BLL.DMSAttachments                                1       19.1
Architecture.BLL.Dashboard                                     1      116.0
Architecture.BLL.DateLock                                      1        6.0
Architecture.BLL.DefineOtherParties                            1        6.9
Architecture.BLL.Department                                    1        6.4
Architecture.BLL.DepartmentRequest                             1       36.3
Architecture.BLL.District                                      1        4.1
Architecture.BLL.DocumentType                                  1        6.7
Architecture.BLL.ExImVCICategory                               1        2.9
Architecture.BLL.ExImVCIParameter                              1        4.0
Architecture.BLL.ExImVCITransaction                            1       15.4
Architecture.BLL.Export                                       39     1604.5
Architecture.BLL.ExportPrefixType                              1        1.4
Architecture.BLL.FavoriteScreens                               1        3.2
Architecture.BLL.Fcm                                           4       57.7
Architecture.BLL.FeedMill                                     16      932.2
Architecture.BLL.FinanceManagment                              3       22.3
Architecture.BLL.FinancialYear                                 1        7.0
Architecture.BLL.FixedAssets                                   2       20.3
Architecture.BLL.GenerateExportInvoiceNos                      1       13.2
Architecture.BLL.GetAvgRatesAndStockInHand                     1       68.1
Architecture.BLL.Ghalla_Mandi                                  1        2.1
Architecture.BLL.Graph                                         1        8.3
Architecture.BLL.GridLayout                                    1        4.4
Architecture.BLL.HRM                                          56      556.0
Architecture.BLL.IPM                                           1       43.6
Architecture.BLL.Import                                       13      607.9
Architecture.BLL.Interface                                     1        1.4
Architecture.BLL.Inventory                                   110     4785.5
Architecture.BLL.ItemAllocateToProductType                     1        6.3
Architecture.BLL.ItemAttribute                                 1        7.5
Architecture.BLL.ItemAttributeVarient                          1       15.7
Architecture.BLL.ItemAttributeVarientAllocationtoItem          1       11.2
Architecture.BLL.ItemPricingScheduleForRice                    1       53.8
Architecture.BLL.ItemQcGrade                                   1        7.5
Architecture.BLL.JobLotsAllocationToBranch                     1        6.7
Architecture.BLL.Lab                                          17      413.6
Architecture.BLL.MRP                                           1       17.1
Architecture.BLL.Main                                         10      161.4
Architecture.BLL.Mfg                                          12      258.9
Architecture.BLL.ModernHistories                               1       63.7
Architecture.BLL.MoistureSlabs                                 1        4.4
Architecture.BLL.MultiCurrency                                 1        6.5
Architecture.BLL.MultiLanguages                                1        5.8
Architecture.BLL.Organization                                  1        5.4
Architecture.BLL.OrganizationLevelDashboard                    1       35.1
Architecture.BLL.OrganizationRegistration                      3       10.6
