group                                                    classes    size_kb
Architecture.DAL.Account                                       2        6.7
Architecture.DAL.Accounts                                     31      373.7
Architecture.DAL.AppMenu                                       1        3.4
Architecture.DAL.AppModules                                    1        3.8
Architecture.DAL.ApplicationsAllocateToUser                    1        2.8
Architecture.DAL.AssetSchema                                   2        4.3
Architecture.DAL.AttributeVariant                              1        3.3
Architecture.DAL.Authentication                                3       26.6
Architecture.DAL.BackUpLogs                                    1        2.6
Architecture.DAL.Bank                                          1        3.3
Architecture.DAL.BankBalanceManual                             1        3.9
Architecture.DAL.BankSchema                                    2        9.6
Architecture.DAL.BlockListVehicles                             1        2.3
Architecture.DAL.Branches                                      1        2.1
Architecture.DAL.BranchesAllocationToUser                      1        2.8
Architecture.DAL.BusinessType                                  1        2.4
Architecture.DAL.CLV                                           1        5.4
Architecture.DAL.CRM                                           6       19.2
Architecture.DAL.ChartOfAccountAllocateCostCenter              1        2.8
Architecture.DAL.CheqBookHeader                                1        4.6
Architecture.DAL.ChequePrinting                                6       11.6
Architecture.DAL.City                                          1        2.1
Architecture.DAL.CmTr                                          6      115.0
Architecture.DAL.CommissionAgent                               6      125.2
Architecture.DAL.CommodityDetailItemCustomerWise               1        3.4
Architecture.DAL.Common                                        4      266.7
Architecture.DAL.Company                                       1       11.1
Architecture.DAL.CompanyReport                                 1        2.5
Architecture.DAL.CompanyRights                                 1        8.5
Architecture.DAL.ContractorWages                               6       46.9
Architecture.DAL.ContractorsAllocationToBranch                 1        2.8
Architecture.DAL.CostCenter                                    1        3.3
Architecture.DAL.Country                                       1        2.2
Architecture.DAL.DALBase                                       1        2.7
Architecture.DAL.DAW                                           4        9.5
Architecture.DAL.DMS                                           3        8.1
Architecture.DAL.DMSAttachment                                 1       18.9
Architecture.DAL.DateLock                                      1        2.1
Architecture.DAL.DefineOtherParties                            1        2.4
Architecture.DAL.Department                                    1        2.1
Architecture.DAL.DepartmentRequest                             1       12.1
Architecture.DAL.District                                      1        2.1
Architecture.DAL.ExImVCICategory                               1        2.5
Architecture.DAL.ExImVCIParameter                              1        2.5
Architecture.DAL.ExImVCITransaction                            1       12.7
Architecture.DAL.Export                                       40      601.6
Architecture.DAL.ExportPrefixType                              1        2.1
Architecture.DAL.FavoriteScreens                               1        1.4
Architecture.DAL.Fcm                                           3       28.8
Architecture.DAL.FeedMill                                     12      332.4
Architecture.DAL.FinanceManagment                              4       15.3
Architecture.DAL.FinancialYear                                 1        2.1
Architecture.DAL.FixedAssets                                   2        4.5
Architecture.DAL.GenerateExportInvoiceNos                      1        4.5
Architecture.DAL.GridLayout                                    1        2.2
Architecture.DAL.HRM                                          62      273.9
Architecture.DAL.IPM                                           1        2.8
Architecture.DAL.Import                                       14      149.6
Architecture.DAL.InvBoilerName                                 1        2.4
Architecture.DAL.Inventory                                   100     1280.3
Architecture.DAL.ItemAllocateToProductType                     1        2.8
Architecture.DAL.ItemAttribute                                 1        3.3
