group                                                    classes    size_kb
Architecture.Model.Account                                     2        4.5
Architecture.Model.Accounts                                   53      558.3
Architecture.Model.Api                                         3        6.3
Architecture.Model.AppMenu                                     1        7.1
Architecture.Model.AppModules                                  1        4.4
Architecture.Model.ApplicationsAllocateToCompany               1        5.0
Architecture.Model.ApplicationsAllocateToScreen                1        3.2
Architecture.Model.ApplicationsAllocateToScreen_Retrieval        1        4.6
Architecture.Model.ApplicationsAllocateToUser                  1        6.1
Architecture.Model.ApprovalList                                1        9.4
Architecture.Model.AssetSchema                                 5       55.5
Architecture.Model.AttributeVariant                            1        7.7
Architecture.Model.Authentication                              5       26.2
Architecture.Model.BackUpLogs                                  1        7.5
Architecture.Model.Bank                                        1       16.5
Architecture.Model.BankBalanceManual                           1        6.7
Architecture.Model.BankSchema                                  2       26.9
Architecture.Model.BlockListVehicles                           1        3.5
Architecture.Model.Branches                                    1        9.7
Architecture.Model.BranchesAllocationToUser                    1        7.1
Architecture.Model.BusinessType                                1        5.5
Architecture.Model.CLV                                         1        3.2
Architecture.Model.CRM                                         8       56.1
Architecture.Model.ChartOfAccountAllocateCostCenter            1        7.1
Architecture.Model.CheqBookDetail                              1        2.9
Architecture.Model.CheqBookHeader                              1       10.0
Architecture.Model.ChequePrinting                              7       59.8
Architecture.Model.City                                        1        7.8
Architecture.Model.CmTr                                       21      318.3
Architecture.Model.CommissionAgent                            34      530.7
Architecture.Model.CommodityDetailItemCustomerWise             1        8.5
Architecture.Model.Common                                     15       12.5
Architecture.Model.Company                                     1       17.4
Architecture.Model.CompanyReport                               1        2.5
Architecture.Model.CompanyRights                               1        3.4
Architecture.Model.CompanyRightsInsertAndDelete                1        5.0
Architecture.Model.ContractorWages                            11      120.5
Architecture.Model.ContractorsAllocationToBranch               1        7.3
Architecture.Model.CostCenter                                  1        5.9
Architecture.Model.Country                                     1        6.1
Architecture.Model.CustomerBills                               1        0.4
Architecture.Model.DAW                                         5       20.9
Architecture.Model.DMS                                         3       20.0
Architecture.Model.DMSAttachments                              1       11.3
Architecture.Model.DateLock                                    1        7.2
Architecture.Model.DefineOtherParties                          1        3.6
Architecture.Model.Department                                  1        5.8
Architecture.Model.DepartmentRequest                           1       16.1
Architecture.Model.DepartmentRequestDetail                     1       11.4
Architecture.Model.District                                    1        6.7
Architecture.Model.DocumentApprovalDetail                      1        3.1
Architecture.Model.DocumentType                                1       10.0
Architecture.Model.Encryption                                  1        9.1
Architecture.Model.ErpFeaturesByCompany                        1        1.5
Architecture.Model.ExImVCICategory                             1        4.6
Architecture.Model.ExImVCIParameter                            1        5.6
Architecture.Model.ExImVCITransaction                          1       14.3
Architecture.Model.ExImVCITransactionDetail                    1        5.0
Architecture.Model.Export                                     89     1297.7
Architecture.Model.ExportPrefixType                            1        1.5
Architecture.Model.FavoriteScreens                             1        5.0
Architecture.Model.Fcm                                        11       87.9
Architecture.Model.FeedMill                                   44      681.0
Architecture.Model.FinanceManagment                            5       40.3
Architecture.Model.FinancialYear                               1        8.5
Architecture.Model.FixedAssets                                 2       33.2
Architecture.Model.GeneralApproval                             1        0.4
Architecture.Model.GenerateExportInvoiceNos                    1        9.2
Architecture.Model.GetAccountsByEmployeeId                     1        2.6
