group                                                    classes    size_kb
Architecture.HvLibrary.CHCNetSDK                               1       40.8
Architecture.Model.Mappings                                    1       38.0
Architecture.PSDSMS.SQLCompact40                               1       13.6
Architecture.WinApp.AccountToAccountTransfer                   1      150.4
Architecture.WinApp.Account_Definition                        63    41107.9
Architecture.WinApp.Account_Reports                           69    16128.2
Architecture.WinApp.AcfrmAcAllocation                          1      200.2
Architecture.WinApp.AcfrmDefCoa                                1      733.8
Architecture.WinApp.AcfrmDefineBank                            1      284.5
Architecture.WinApp.AcfrmOpeningBalance                        1      181.6
Architecture.WinApp.AnalyticDashboard                         11     1891.5
Architecture.WinApp.ApprovalDashboard                         36     9868.9
Architecture.WinApp.AssetSchema                                2      766.3
Architecture.WinApp.AttachmentView                             1       41.1
Architecture.WinApp.AttachmentViewWithDeleteOption             1       73.4
Architecture.WinApp.Audit_Dashboard                            8     1546.9
Architecture.WinApp.BackUpDatabase                             1       28.5
Architecture.WinApp.BackUpDatabaseNew                          1       37.8
Architecture.WinApp.Bank                                       2     1079.7
Architecture.WinApp.BarcodeGenerate                            1       53.8
Architecture.WinApp.BlockListVehicles                          1       57.9
Architecture.WinApp.BookingOffice                              2      693.4
Architecture.WinApp.ChequePrinting                             1      311.7
Architecture.WinApp.CmTr                                      18    12153.7
Architecture.WinApp.Cmagt                                     19    14453.8
Architecture.WinApp.Commentaries                               5     2088.4
Architecture.WinApp.CommissionAgent                           14     6323.7
Architecture.WinApp.Common                                    29     2331.8
Architecture.WinApp.Configurations                            19     6707.8
Architecture.WinApp.ConfigurationsByScreen                     1       97.2
Architecture.WinApp.Contractor_Wages                           9     4319.9
Architecture.WinApp.Credit_Financial_Management                2     1045.1
Architecture.WinApp.CustomerDiscountPolicy                     1      170.4
Architecture.WinApp.DCUtility                                  1       28.7
Architecture.WinApp.DMS_FolderHierarchy                        7      779.2
Architecture.WinApp.DashBoard                                  6      634.7
Architecture.WinApp.Dashboard                                 11     1277.7
Architecture.WinApp.DashboardNew                               1      849.0
Architecture.WinApp.DataSyncing                                9     1179.8
Architecture.WinApp.DateLock                                   1       86.7
Architecture.WinApp.DefineApprovalDocument                     1       84.9
Architecture.WinApp.DefineBoilerName                           1       48.4
Architecture.WinApp.DefineBusinessType                         1       81.4
Architecture.WinApp.DefineCity                                 1       74.8
Architecture.WinApp.DefineCountry                              1       56.6
Architecture.WinApp.DefineCropYear                             1       82.7
Architecture.WinApp.DefineDistrict                             1       69.6
Architecture.WinApp.DefineExportPackingType                    1       61.8
Architecture.WinApp.DefineExportPrefixType                     1       47.5
Architecture.WinApp.DefineMasterItems                          1       54.7
Architecture.WinApp.DefineMultiCurrency                        1       72.6
Architecture.WinApp.DefineOtherParties                         1       49.4
Architecture.WinApp.DefinePackingType                          1       56.8
Architecture.WinApp.DefineProcessStep                          1       51.5
Architecture.WinApp.DefineProvince                             1       77.8
Architecture.WinApp.DefineReferenceParties                     1      106.3
Architecture.WinApp.DefineTehsil                               1       72.6
Architecture.WinApp.DeliveryTerms                              1       36.9
Architecture.WinApp.DigitalCameraView                          1       59.1
Architecture.WinApp.DiscountPolicyForParty                     1      101.5
Architecture.WinApp.DocumentApprovalLevel                      1       54.5
Architecture.WinApp.DocumentApprovalPolicy                     1      152.9
Architecture.WinApp.DocumentGroup                              1       38.7
Architecture.WinApp.DynamicCards                              49     1719.7
Architecture.WinApp.Employee_Management                        2      477.1
Architecture.WinApp.EnterLicenseKey                            1       41.7
Architecture.WinApp.ExImLookups                                1       85.4
Architecture.WinApp.ExImShipmentDocuments                      1       37.2
Architecture.WinApp.Export                                    75    58386.6
Architecture.WinApp.ExportReports                             44    10776.3
Architecture.WinApp.ExportSalt                                 6     6690.2
Architecture.WinApp.FIFO                                       2      278.1
Architecture.WinApp.FcYBankChargesTypes                        1       76.9
Architecture.WinApp.FeedMill                                  15    14571.0
Architecture.WinApp.FinanceManagement                          3      782.8
Architecture.WinApp.FixedAsset                                 4     1358.4
